WO_NO,REG_DATE,ERR_CAUSE_LO,ERR_DESCR,PLAN_S_DATE,PLAN_F_DATE,REAL_S_DATE,REAL_F_DATE,WORK_DONE,WORK_DESCR_LO,PERFORMED_ACTION_LO,FUNC_TEST,FUNC_TEST_DESCR,PM_DESCR,PLAN_MEN,PLAN_HRS,REAL_HRS,CODE_C,CODE_D,CODE_G,CODE_H,CODE_I,CODE_J,CODE_F,ACTIVITY_SEQ,TEST_NUMBER,INSTRUCTION,MATERIALS,PLAN_S_WEEK,PLAN_F_WEEK,NOTE,LAST_ACTIVITY_DATE,REQUIRED_START_DATE,REQUIRED_END_DATE,PM_TYPE,PM_TYPE_DB,ERR_CAUSE,PERFORMED_ACTION_ID,COST_CENTER,OBJECT_NO,PROJECT_NO,ERR_SYMPTOM,ERR_DISCOVER_CODE,WORK_TYPE_ID,PRIORITY_ID,ERR_TYPE,ACTION_CODE_ID,ERR_CLASS,OP_STATUS_ID,CALL_CODE,WORK_LEADER_SIGN_ID,WORK_LEADER_SIGN,WORK_MASTER_SIGN_ID,WORK_MASTER_SIGN,ROLE_CODE,FUNC_TEST_SIGN_ID,FUNC_TEST_SIGN,WO_STATUS_ID,CONTRACT,MCH_CODE,TEST_POINT_ID,ORG_CODE,VENDOR_NO,REPORT_IN_BY_ID,REPORT_IN_BY,REPAIR_FLAG,CONTACT,PHONE_NO,ADDRESS_ID,REFERENCE_NO,FIXED_PRICE,FIXED_PRICE_DB,AGREEMENT_ID,CUSTOMER_NO,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,ADDRESS5,ADDRESS6,ADDRESS7,QUOTATION_ID,FAULT_REP_FLAG,WO_KEY_VALUE,CUST_ORDER_TYPE,CUST_ORDER_NO,CUST_ORDER_LINE_NO,CUST_ORDER_REL_NO,CUST_ORDER_LINE_ITEM_NO,WARRANTY_ROW_NO,GENERATE_NOTE,GENERATE_NOTE_DB,GEN_ID,SEQ_NO,CURRENCY_CODE,NON_SERIAL_REPAIR_FLAG,REPAIR_PART_NO,REPAIR_PART_CONTRACT,NON_SERIAL_LOCATION,NON_SERIAL_LOCATION_DB,CUST_WARRANTY,CUST_WARR_TYPE,SUP_WARRANTY,SUP_WARR_TYPE,OBJ_CUST_WARRANTY,OBJ_SUP_WARRANTY,PLANNED_MAN_HRS,GROUP_ID,MCH_CODE_CONTRACT,CONNECTION_TYPE,CONNECTION_TYPE_DB,MCH_CODE_DESCRIPTION,RECEIVE_ORDER_NO,COMPLEX_AGREEMENT_ID,CASE_ID,TASK_ID,CONTEXT,CONTRACT_ID,LINE_NO,EARLIEST_START_DATE,FIXED_START_DATE,FIXED_RESOURCE,SORTING_NO,C_NEXT_DUE_VALUE,C_LAST_COMPLETED,C_CYCLE_ID_CONTRACT,C_PM_CYCLE_ID,C_LINE_CYCLE_NO,C_NC_DATE,C_DATE_CHG,C_MAINTAINABLE_ID,SCHED_MAINT_WIN,SCHED_MAINT_WIN_DB,C_WO_NOT_REQ_IF_INSP_FAIL,C_ALLOW_OBJ_LINE_NOT_INSP,C_MASTER_WO_NO,C_DERIVED_WO_CREATED,C_ACTUAL_FUNC_OBJECT,C_REF_CONNECTION,C_RANDOM_SAMPLE,C_RANDOM_SAMPLE_DB,C_SAMPLE_SIZE,C_OBJ_LIST_SIZE,C_SAMPLE_SIZE_PCT,C_INSP_RESULT_CATA,C_INSP_RESULT_CATA_DESC,C_MULTIPLICATION_FACTOR,C_MULTIPLICATION_FACTOR_DB,C_MANDATORY_INSP_CODE,C_MANDATORY_INSP_CODE_DB,C_MOBILE_FREEZE,C_MOBILE_DEVICE_ID,C_DEVICE_NAME,C_APPR_AUTO_COMP
1562,16-Dec-14,,"LIFEBOAT NO.6, MAIN DECK, STBD",17-Jan-15,17-Jan-15,26-Jan-15,26-Jan-15,,,"Inspected, all OK.",,,,,720,,,50,,,200,,,,,,,,,,27-Jan-15,,17-Jan-15,Separate Action,ActiveSeparate,,,,,,,,200,3,,,,,,,,,,,,,FINISHED,J105,12147666,,MARINE,,,,FALSE,,,,52927403,,,,,,,,,,,,,,WO_NO=1562^,SEO,,,,,,,,,,,,,,,,,,,,,,,,J105,EQUIPMENT,EQUIPMENT,"LIFEBOAT NO.6, MAIN DECK, STBD",,,,,,,,10-Jan-15,,,,,,,,,20-Jan-15,,,FALSE,FALSE,,,,,501,,,,,,,,,,,,,,,,FALSE
53091,27-Feb-17,(null),"DIVERTER CONT, BOP/DIVERTER -PS-15-CO-02",3-Jun-17,3-Jun-17,23-May-17,23-May-17,(null),(null),(null),(null),(null),(null),(null),479.9997168,(null),(null),332,(null),(null),200,(null),(null),(null),(null),(null),(null),(null),(null),(null),23-May-17,28-May-17,4-Jun-17,Separate Action,ActiveSeparate,(null),(null),(null),(null),(null),(null),(null),200,3,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FINISHED,J117,11420004,(null),TECHLEAD,(null),(null),(null),FALSE,(null),(null),(null),53474519,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),WO_NO=53091^,SEO,(null),(null),(null),(null),(null),No,2,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),J117,EQUIPMENT,EQUIPMENT,"CONTROL MANIFOLD, BOP",(null),(null),(null),(null),(null),(null),(null),28-May-17,(null),(null),(null),(null),(null),(null),(null),(null),7-Jun-17,TRUE,(null),TRUE,TRUE,FALSE,FALSE,(null),FALSE,332,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FALSE
53092,27-Feb-17,(null),"CONTROL MNFLD, BOP/DIVERTER-PS-15-CO-02",3-Jun-17,3-Jun-17,23-May-17,23-May-17,(null),(null),(null),(null),(null),(null),(null),479.9997168,(null),(null),332,(null),(null),200,(null),(null),(null),(null),(null),(null),(null),(null),(null),23-May-17,28-May-17,4-Jun-17,Separate Action,ActiveSeparate,(null),(null),(null),(null),(null),(null),(null),200,3,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FINISHED,J117,11420004,(null),TECHLEAD,(null),(null),(null),FALSE,(null),(null),(null),53474520,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),WO_NO=53092^,SEO,(null),(null),(null),(null),(null),No,2,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),J117,EQUIPMENT,EQUIPMENT,"CONTROL MANIFOLD, BOP",(null),(null),(null),(null),(null),(null),(null),28-May-17,(null),(null),(null),(null),(null),(null),(null),(null),7-Jun-17,TRUE,(null),TRUE,TRUE,FALSE,FALSE,(null),FALSE,332,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FALSE
1210006121,10-Jul-17,(null),3 MONTHS,27-Sep-17,27-Sep-17,5-Oct-17,6-Oct-17,(null),(null),(null),(null),(null)," Generated for ex department , Site J117,  11420004,",(null),239.9997168,(null),(null),332,(null),(null),200,(null),(null),(null),(null),(null),(null),(null),(null),(null),6-Oct-17,(null),6-Oct-17,Separate Action,ActiveSeparate,(null),(null),(null),(null),(null),(null),(null),200,(null),(null),M003,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FINISHED,J117,11420004,(null),ELECTRON,(null),(null),(null),FALSE,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),WO_NO=1210006121^,SEO,(null),(null),(null),(null),(null),(null),(null),12100000263,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),J117,EQUIPMENT,EQUIPMENT,"CONTROL MANIFOLD, BOP",(null),(null),(null),(null),(null),(null),(null),27-Sep-17,(null),(null),(null),(null),(null),(null),(null),(null),9-Oct-17,(null),(null),TRUE,TRUE,FALSE,TRUE,(null),FALSE,332,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FALSE
1210006163,10-Jul-17,(null),3 MONTHS,27-Sep-17,27-Sep-17,5-Oct-17,7-Oct-17,(null),(null),(null),(null),(null)," Generated for ex department , Site J117,  11420004,",(null),239.9997168,(null),(null),332,(null),(null),200,(null),(null),(null),(null),(null),(null),(null),(null),(null),7-Oct-17,(null),6-Oct-17,Separate Action,ActiveSeparate,(null),(null),(null),(null),(null),(null),(null),200,(null),(null),M003,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FINISHED,J117,11420004,(null),HYDRAULI,(null),(null),(null),FALSE,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),WO_NO=1210006163^,SEO,(null),(null),(null),(null),(null),(null),(null),12100000263,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),J117,EQUIPMENT,EQUIPMENT,"CONTROL MANIFOLD, BOP",(null),(null),(null),(null),(null),(null),(null),27-Sep-17,(null),(null),(null),(null),(null),(null),(null),(null),9-Oct-17,(null),(null),TRUE,TRUE,FALSE,TRUE,(null),FALSE,332,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FALSE
1210006095,10-Jul-17,(null),1 MONTHS,28-Sep-17,28-Sep-17,3-Oct-17,3-Oct-17,(null),(null),(null),(null),(null)," Generated for ex department , Site J117,  11420004,",(null),167.9997168,(null),(null),332,(null),(null),200,(null),(null),(null),(null),(null),(null),(null),(null),(null),3-Oct-17,(null),4-Oct-17,Separate Action,ActiveSeparate,(null),(null),(null),(null),(null),(null),(null),200,(null),(null),M001,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FINISHED,J117,11420004,(null),TECHLEAD,(null),(null),(null),FALSE,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),WO_NO=1210006095^,SEO,(null),(null),(null),(null),(null),(null),(null),12100000263,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),J117,EQUIPMENT,EQUIPMENT,"CONTROL MANIFOLD, BOP",(null),(null),(null),(null),(null),(null),(null),28-Sep-17,(null),(null),(null),(null),(null),J117,56046466,16,7-Oct-17,(null),(null),TRUE,TRUE,FALSE,TRUE,(null),FALSE,332,(null),(null),(null),(null),(null),(null),(null),(null),FALSE,FALSE,(null),(null),(null),(null),(null),FALSE
1210003193,25-Mar-17,(null),3 MONTHS,27-Mar-17,27-Mar-17,3-Apr-17,18-Apr-17,(null),(null),(null),(null),(null)," Generated for ex department , Site J117,  11420004,",(null),239.9997168,(null),(null),332,(null),(null),200,(null),(null),(null),(null),(null),(null),(null),(null),(null),18-Apr-17,(null),1-May-17,Separate Action,ActiveSeparate,(null),(null),(null),(null),(null),(null),(null),200,(null),(null),M003,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FINISHED,J117,11420004,(null),HYDRAULI,(null),(null),(null),FALSE,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),WO_NO=1210003193^,SEO,(null),(null),(null),(null),(null),(null),(null),12100000035,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),J117,EQUIPMENT,EQUIPMENT,"CONTROL MANIFOLD, BOP",(null),(null),(null),(null),(null),(null),(null),27-Mar-17,(null),(null),(null),(null),(null),(null),(null),(null),4-May-17,TRUE,(null),TRUE,TRUE,FALSE,TRUE,(null),FALSE,332,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FALSE
51439,28-Jan-17,(null),"PANELS, UPS&POWER DISTRIBUTION",4-May-17,4-May-17,3-May-17,3-May-17,(null),(null),(null),(null),(null),(null),(null),479.9997168,(null),(null),332,(null),(null),200,(null),(null),(null),(null),(null),(null),(null),(null),(null),3-May-17,28-Apr-17,5-May-17,Separate Action,ActiveSeparate,(null),(null),(null),(null),(null),(null),(null),200,3,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FINISHED,J117,11420004,(null),ELECTRIC,(null),(null),(null),FALSE,(null),(null),(null),53469555,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),WO_NO=51439^,SEO,(null),(null),(null),(null),(null),No,2,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),J117,EQUIPMENT,EQUIPMENT,"CONTROL MANIFOLD, BOP",(null),(null),(null),(null),(null),(null),(null),28-Apr-17,(null),(null),(null),(null),(null),(null),(null),(null),8-May-17,TRUE,(null),TRUE,TRUE,FALSE,FALSE,(null),FALSE,332,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FALSE
50626,9-Jan-17,Protection cover BOP Cont pane,WOP. Protection cover BOP Cont panel,4-May-17,4-May-17,2-May-17,2-May-17,(null),(null),"Completed, Guards in place for control pannels and hose connections. :",(null),(null),(null),(null),479.9997168,(null),(null),332,(null),(null),300,(null),(null),(null),(null),(null),(null),(null),(null),(null),2-May-17,7-Feb-17,5-May-17,Separate Action,ActiveSeparate,1,5,(null),(null),(null),(null),(null),300,1,2,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FINISHED,J117,11420004,(null),DRILLING,(null),(null),(null),FALSE,(null),(null),(null),53466453,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),WO_NO=50626^,SEO,(null),(null),(null),(null),(null),No,2,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),J117,EQUIPMENT,EQUIPMENT,"CONTROL MANIFOLD, BOP",(null),(null),(null),(null),(null),(null),(null),7-Feb-17,(null),(null),(null),(null),(null),(null),(null),(null),8-May-17,TRUE,PI000200-0500,TRUE,TRUE,FALSE,FALSE,(null),FALSE,332,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FALSE
1210007515,30-Aug-17,(null),1 MONTHS,28-Nov-17,28-Nov-17,25-Nov-17,25-Nov-17,(null),(null),(null),(null),(null)," Generated for ex department , Site J117,  11420004,",(null),167.9997168,(null),(null),332,(null),(null),200,(null),(null),(null),(null),(null),(null),(null),(null),(null),25-Nov-17,(null),4-Dec-17,Separate Action,ActiveSeparate,(null),(null),(null),(null),(null),(null),(null),200,(null),(null),M001,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),FINISHED,J117,11420004,(null),TECHLEAD,(null),(null),(null),FALSE,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),WO_NO=1210007515^,SEO,(null),(null),(null),(null),(null),(null),(null),12100000381,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),J117,EQUIPMENT,EQUIPMENT,"CONTROL MANIFOLD, BOP",(null),(null),(null),(null),(null),(null),(null),28-Nov-17,(null),(null),(null),(null),(null),J117,56046466,17,7-Dec-17,(null),(null),TRUE,TRUE,FALSE,TRUE,(null),FALSE,332,(null),(null),(null),(null),(null),(null),(null),(null),FALSE,FALSE,(null),(null),(null),(null),(null),FALSE
