PM_NO,PM_REVISION,PM_TYPE,CONTRACT,MCH_CODE,MCH_NAME,TEST_POINT_ID,SIGNATURE_ID,SIGNATURE,ACTION_CODE_ID,ACTION_DESCR,WORK_TYPE_ID,ORG_CONTRACT,ORG_CODE,OP_STATUS_ID,ROUNDDEF_ID,PRIORITY_ID,CALL_CODE,START_CALL,CALL_INTERVAL,TESTNUMBER,LATEST_PM,START_VALUE,PM_START_UNIT,INTERVAL,PM_INTERVAL_UNIT,LAST_CHANGED,COMPANY,VENDOR_NO,PM_ORDER_NO,PLAN_MEN,ROLE_CODE,NOTE,ALTERNATE_DESIGNATION,INSTRUCTION,MATERIALS,DESCRIPTION,PM_GENERATEABLE,PM_PERFORMED_DATE_BASED,PM_TYPE_DB,PM_NO_KEY_VALUE,CONNECTIONS,CRITERIA,ADJUSTMENTS,DATE_VALUE,AGREEMENT_ID,START_DATE,CUSTOMER_NO,CURRENCY_CODE,MCH_CODE_CONTRACT,NOTE_ID,REV_NO,VALID_FROM,VALID_TO,CALENDAR_ID,MAINT_EMPLOYEE,MAINT_EMP_SIGN,CONTRACT_ID,LINE_NO,REASON,DONE_BY,REV_CRE_DATE,C_CYCLE_ID_CONTRACT,C_PM_CYCLE_ID,C_CYCLE_DESCRIPTION,C_NEXT_LINE_CYCLE_NO,C_CYCLE_PM,C_CONTROLLED_CALENDAR_INTERVAL,C_CAPEX,C_ALLOW_MUL_OPEN_PM_WO,C_EXCLUDE_ROFO_CALC,SCHED_MAINT_WIN,SCHED_MAINT_WIN_DB,C_WO_NOT_REQ_IF_INSP_FAIL,C_ALLOW_OBJ_LINE_NOT_INSP,C_PM_MODE,C_PART_NO,C_DESCRIPTION,C_FUNC_MCH_CODE,C_FUNC_MCH_CODE_DESC,C_FUNC_SITE,C_ACT_FUNC_MCH_CODE,C_ACT_FUNC_MCH_CODE_DESC,C_ACT_FUNC_SITE,C_RANDOM_SAMPLE,C_RANDOM_SAMPLE_DB,C_SAMPLE_SIZE,C_OBJ_LIST_SIZE,C_SAMPLE_SIZE_PCT,C_INSP_RESULT_CATA,C_INSP_RESULT_CATA_DESC,C_MULTIPLICATION_FACTOR,C_MULTIPLICATION_FACTOR_DB,C_MANDATORY_INSP_CODE,C_MANDATORY_INSP_CODE_DB,C_APPR_AUTO_COMP,OBJID,OBJVERSION,OBJSTATE,OBJEVENTS,STATE,OBJKEY
85,1,Separate Action,J105,11003050,FOXHOLE SLIP ASSEMBLY,*,SYS,SYS,M012,1 YEARLY,200,J105,EXTERNAL,,,,,,,,5-Feb-16,20160201,Day,12,Month,28-Oct-16,DK122,,,,,,,,,,Yes,No,ActiveSeparate,851,FALSE,FALSE,FALSE,,,1-Feb-16,,,J105,105257,1,1-Jan-14,,MD,,,,,3108838-2070269,NGN001,11-Jan-15,,,,,-,,,TRUE,,FALSE,FALSE,,TRUE,,TBU,... TO BE UPDATED ...,,,,A342,ARCHIVE - DRILL FLOOR TUBULAR HANDLING EQUIPMENT,,,,,,,,,,,,,FALSE,AAHYPmAARAADMIzAAA,5,Obsolete,,Obsolete,06DF612625D1461A936A7F0C18E36F17
1933,1,Separate Action,J105,11003050,FOXHOLE SLIP ASSEMBLY,,SYS,SYS,M006,6 MONTHS,200,J105,DRILLING,,,,,,,,25-Oct-16,20150425,Day,6,Month,28-Oct-16,DK122,,,,,,,,,,Yes,No,ActiveSeparate,19331,FALSE,FALSE,FALSE,,,25-Apr-15,,,J105,107105,1,1-Jan-14,,MD,,,,,3109689-2070417,SYS,11-Jan-15,J105,56023020,J105-56023020,2,+,-,,TRUE,,FALSE,FALSE,FALSE,TRUE,,TBU,... TO BE UPDATED ...,,,,A342,ARCHIVE - DRILL FLOOR TUBULAR HANDLING EQUIPMENT,,,,,0,,,,,,,,FALSE,AAHYPmAARAADMJ/AAD,12,Obsolete,,Obsolete,4AE9D0CCF74A4271BC8DF2D40B7540A2
85,3,Separate Action,J105,11003050,FOXHOLE SLIP ASSEMBLY,*,SYS,SYS,M012,1 YEARLY,200,J105,TECHLEAD,,,2,,,,,4-Mar-18,20160201,Day,12,Month,17-Jan-19,DK122,,,,,,,,,,Yes,No,ActiveSeparate,853,FALSE,FALSE,FALSE,,,1-Feb-16,,,J105,,3,9-Nov-17,,MD,,,,,GLB125356,TON013,9-Nov-17,,,,,-,,,TRUE,,FALSE,FALSE,TRUE,TRUE,,TBU,... TO BE UPDATED ...,,,,A342,ARCHIVE - DRILL FLOOR TUBULAR HANDLING EQUIPMENT,,,,,0,,,,,,,,FALSE,AAHYPmAAUAADKBrAAO,6,Obsolete,,Obsolete,37428ED498B5486AA077A451F03614DC
85,2,Separate Action,J105,11003050,FOXHOLE SLIP ASSEMBLY,*,SYS,SYS,M012,1 YEARLY,200,J105,EXTERNAL,,,2,,,,,6-Feb-17,20160201,Day,12,Month,9-Nov-17,DK122,,,,,,,,,,Yes,No,ActiveSeparate,852,FALSE,FALSE,FALSE,,,1-Feb-16,,,J105,,2,28-Oct-16,,MD,,,,,MIGR. OF OPB FIELD VALUES,ERP_MCH312,28-Oct-16,,,,,-,,,TRUE,,FALSE,FALSE,TRUE,TRUE,,TBU,... TO BE UPDATED ...,,,,A342,ARCHIVE - DRILL FLOOR TUBULAR HANDLING EQUIPMENT,,,,,0,,,,,,,,FALSE,AAHYPmAAWAADJ6YAAN,5,Obsolete,,Obsolete,CBE211129BA848F791D48F1027B48BA2
1933,2,Separate Action,J105,11003050,FOXHOLE SLIP ASSEMBLY,,SYS,SYS,M006,6 MONTHS,200,J105,DRILLING,,,2,,,,,7-May-18,20150425,Day,6,Month,20-Sep-18,DK122,,,,,,,,,,Yes,No,ActiveSeparate,19332,FALSE,FALSE,FALSE,,,25-Apr-15,,,J105,,2,28-Oct-16,,MD,,,,,MIGR. OF OPB FIELD VALUES,ERP_MCH312,28-Oct-16,J105,56023020,J105-56023020,2,+,-,,TRUE,,FALSE,FALSE,TRUE,TRUE,,TBU,... TO BE UPDATED ...,,,,A342,ARCHIVE - DRILL FLOOR TUBULAR HANDLING EQUIPMENT,,,,,0,,,,,,,,FALSE,AAHYPmAAbAADFnRAAY,12,Obsolete,,Obsolete,1768578FF33F496992F4FAE252BD8BCE
98919,1,Separate Action,J105,11003050,FOXHOLE SLIP ASSEMBLY,,1234378,TTE060,M006,6 MONTHS,200,J105,TECHLEAD,,,2,,,,,22-Apr-19,25-10-2018,Day,6,Month,4-Sep-19,DK122,,,,,,,,,,Yes,No,ActiveSeparate,989191,FALSE,FALSE,FALSE,,,25-Oct-18,,,J105,20451026,1,28-Oct-16,,MD,,,,,,,20-Sep-18,STD,99904995X,STD-99904995,2,+,-,-,TRUE,,FALSE,FALSE,FALSE,FALSE,OPN_STOP,TBU,... TO BE UPDATED ...,,,,A342,ARCHIVE - DRILL FLOOR TUBULAR HANDLING EQUIPMENT,,,,,0,,,,,,,,FALSE,AAHYPmAAtAAAcywAAI,14,Obsolete,,Obsolete,E618F298E14C44C7A919977E86D11111
98919,3,Separate Action,J105,11003050,FOXHOLE SLIP ASSEMBLY,,1234378,TTE060,M006,6 MONTHS,200,J105,TECH,,,2,,,,,13-May-20,25-10-2018,Day,6,Month,30-Jul-20,DK122,,,,,,,,,,No,No,ActiveSeparate,989193,FALSE,FALSE,TRUE,,,25-Oct-18,,,J105,,3,4-Sep-19,,MD,,,,,Changing Maint Org to TECH,TON013,4-Sep-19,STD,99904995X,STD-99904995,1,+,-,-,TRUE,,FALSE,FALSE,FALSE,FALSE,OPN_STOP,TBU,... TO BE UPDATED ...,,,,A342,ARCHIVE - DRILL FLOOR TUBULAR HANDLING EQUIPMENT,,,,,0,,,,,,,,FALSE,AAHYPmAAzAAPCvmAAI,8,Obsolete,,Obsolete,DEE6674786E94D5BBEA9AD1D01E311C8
98919,2,Separate Action,J105,11003050,FOXHOLE SLIP ASSEMBLY,,1234378,TTE060,M006,6 MONTHS,200,J105,TECH,,,2,,,,,22-Apr-19,25-10-2018,Day,6,Month,4-Sep-19,DK122,,,,,,,,,,Yes,No,ActiveSeparate,989192,FALSE,FALSE,FALSE,,,25-Oct-18,,,J105,,2,4-Sep-19,,MD,,,,,Changing Maint Org to TECH,TON013,4-Sep-19,STD,99904995X,STD-99904995,2,+,-,-,TRUE,,FALSE,FALSE,FALSE,FALSE,OPN_STOP,TBU,... TO BE UPDATED ...,,,,A342,ARCHIVE - DRILL FLOOR TUBULAR HANDLING EQUIPMENT,,,,,0,,,,,,,,FALSE,AAHYPmAA2AAG8dKAAI,4,Obsolete,,Obsolete,F03226C371264E0C877DFE6BD48D2C37
300,1,Separate Action,J105,11560046,"CONTROL PANELS, BOP CONTROL SYSTEM-GROUP",*,SYS,SYS,M001,1 MONTHS,200,J105,DRILLING,,,,,,,,8-Oct-16,20150506,Day,1,Month,28-Oct-16,DK122,,,,,,,,,,Yes,No,ActiveSeparate,3001,FALSE,FALSE,FALSE,,,6-May-15,,,J105,105472,1,1-Jan-14,,MD,,,,,3109076-2070509,TBU041,11-Jan-15,,,,,-,,,TRUE,,FALSE,FALSE,FALSE,TRUE,,1090619,MDM:EQUIP PART NOT APPLICABLE (FUNC OBJ),,,,A332,ARCHIVE - BOP CONTROL SYSTEM,,,,,0,,,,,,,,FALSE,AAHYPmAARAADMI+AAG,21,Obsolete,,Active,319907A7CC7A4DF697AF021B16F3F9A8
300,2,Separate Action,J105,11560046,"CONTROL PANELS, BOP CONTROL SYSTEM-GROUP",*,SYS,SYS,M001,1 MONTHS,200,J105,DRILLING,,,2,,,,,12-Feb-18,###############################################################################################################################################################################################################################################################,Day,1,Month,28-Feb-18,DK122,,,,,,,,,,Yes,No,ActiveSeparate,3002,FALSE,FALSE,FALSE,,,6-May-15,,,J105,,2,28-Oct-16,,MD,,,,,MIGR. OF OPB FIELD VALUES,ERP_MCH312,28-Oct-16,,,,,-,,,TRUE,,FALSE,FALSE,TRUE,TRUE,,1090619,MDM:EQUIP PART NOT APPLICABLE (FUNC OBJ),,,,A332,ARCHIVE - BOP CONTROL SYSTEM,,,,,0,,,,,,,,FALSE,AAHYPmAAWAADJ6KAAO,21,Obsolete,,Active,03B68E1908BB43689DDDC05A18E4CF61
